,ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview,similarity_score,read
13249,0380806312,The Husband List,Victoria Alexander,2000,Avon,"<b><p>An Unexpected Husband</p></b><p>Against her better judgment, Lady Gillian Marley needs to find herself a husband -- and quickly. To claim her uncle's unexpected bequest she must marry by her next birthday, which leaves only two months to find a malleable mate. Topping her list of eligible candidates is the honorable Earl of Shelbrooke, yet one look at the very handsome but enigmatic nobleman and Gillian knows that cajoling him into a marriage of convenience will be hardly convenient at all.</p><b><p>A Marriage of Inconvenience</p></b><p>Far from immune to Gillian's entrancing charms, the last thing Richard Shelton is about to bind himself into is a chaste marriage. Though the inheritance is more than and tempting, Richard knows the lady herself is the real prize and isn't about to allow Gillian to deny the burning fervor that sparks between them. Now he has only two months to convince her to be his wife in full ... before his mysterious secret is revealed and their lives explode irrevocably into scandal.</p>","Fiction, Romance, Historical","Fiction, Romance, Historical",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/15573003482323.jpg,,0.6842022,False
5683,0515107662,The Sherbrooke Bride (Bride Trilogy (Paperback)),Catherine Coulter,1996,Jove Books,"<b>The first book in <i>New York Times</i> bestselling author Catherine Coulter's beloved Bride series.</b><br><br>Douglas Sherbrooke, Earl of Northcliffe, is a man besieged. He must have an heir, which means he must find himself a bride.<br><br>Alexandra Chambers, youngest daughter of the Duke of Beresford, has loved Douglas Sherbrooke since she was fifteen. But it is her sister, the incomparable Melissande, he wishes to wed. And unfortunately for Douglas, he finds himself married to the wrong sister. <br><br>Despite his attempts to annul the marriage, he eventually finds himself questioning his feelings for Alexandra—and realizing that he may have married the right woman after all.","Fiction, Romance, Historical, Regency, Suspense","Fiction, Romance, Historical",en,416.0,Paperback,https://images.isbndb.com/covers/10468523482371.jpg,,0.683831,False
2736,015602943X,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,2004,Harvest Books,"A dazzling novel in the most untraditional fashion, this is the remarkable story of Henry DeTamble, a dashing, adventuresome librarian who travels involuntarily through time, and Clare Abshire, an artist whose life takes a natural sequential course. Henry and Clare's passionate love affair endures across a sea of time and captures the two lovers in an impossibly romantic trap, and it is Audrey Niffenegger's cinematic storytelling that makes the novel's unconventional chronology so vibrantly triumphant.<br> <br> An enchanting debut and a spellbinding tale of fate and belief in the bonds of love, The Time Traveler's Wife is destined to captivate readers for years to come.<br>","Fiction, Fantasy, Romance, Time Travel, Women, Family Life, Marriage & Divorce","Fiction, Fantasy, Romance",en,546.0,Paperback,https://images.isbndb.com/covers/14667413482243.jpg,,0.68328214,False
2011,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,"<b>In the second book in her Three Sisters Island Trilogy, #1 <i>New York Times</i> bestselling author Nora Roberts returns to the haunting shores of New England—and to the lives of three passionate, powerful women…<br></b><br>Ripley Todd's job as a sheriff’s deputy keeps her busy and happy, and she has no trouble finding men when she wants them—which, lately, isn’t all that often. She’s perfectly content, except for one thing: she has special powers that both frighten and confuse her.<br><br>Distraction soon arrives in the handsome form of MacAllister Booke—a researcher who’s come to investigate the rumors of witchcraft that haunt Three Sisters Island. Right from the start, he knows there’s something extraordinary about Ripley Todd. Fascinated by her struggle with her amazing abilities, he becomes determined to help her accept who she is—and find the courage to open her heart.<br><br>But before Ripley and Mac can dream of what lies in the future, they must confront the pain of the past. For Three Sisters shelters centuries of secrets—and a legacy of danger that plagues them still…<br><br><br><b>Don't miss the other books in the Three Sisters Island Trilogy</b><br><i><b>Dance Upon the Air</b></i><br><i><b>Face the Fire</b> </i>","Fiction, Romance, Contemporary, Paranormal, Women","Fiction, Romance, Contemporary",en,368.0,Mass Market Paperback,https://images.isbndb.com/covers/10712123482371.jpg,,0.68304515,False
3310,0140430059,Persuasion: With a Memoir of Jane Austen,Jane Austen,1998,Penguin USA (Paper),"Austen's last novel is the crowning achievement of her matchless career. Her heroine, Anne Elliot, a woman of integrity, breeding and great depth of emotion, stands in stark contrast to the brutality and hypocrisy of Regency England. Includes a new Introduction by Margaret Drabble, famed novelist and editor of The Oxford Companion to the English Language.","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), MAN-WOMAN RELATIONSHIPS_FICTION, ENGLAND_FICTION","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), MAN-WOMAN RELATIONSHIPS_FICTION, ENGLAND_FICTION",fr,400.0,Paperback,https://images.isbndb.com/covers/27188363482237.jpg,,0.68258107,False
919,0553583085,Kissed by Shadows (Get Connected Romances),Jane Feather,2003,Bantam Books,"<i>New York Times</i> bestselling author Jane Feather has won legions of fans and critical accolades for her unique blend of sizzling seduction, dangerous intrigue, and passionate adventure. In this second of two romances featuring two unconventional sisters whose quest to solve the mystery surrounding their lives puts each of them in the path of an irresistible hero, Jane Feather tells the story of a young bride in peril and a mysterious English lord who find themselves at the center of a sinister plot...and a reckless affair.<br><br><b>Kissed By Shadows<br><br></b>Lady Philippa Nielson had no memory of what took place in her bedchamber in the dead of night--nor knowledge of the dangerous plot that put her life in jeopardy. But with a brief touch of his hand and one glance of his knowing gray eyes, Pippa felt a connection to the dark stranger who should have been her greatest enemy. Who was this man who seemed to understand more about her life than she did herself? Why did she respond to his most casual caresses with the most urgent and reckless of desires? <br><br>Lionel Ashton had been appointed guardian of both Pippa and the secret she unknowingly bore. And protect this sensuous and fiercely independent woman he would, even from the king himself. But what Lionel knows about Pippa will put both their lives in the greatest danger--even as they slip under the spell of a daring seduction that will turn them into passionate outlaws...and legendary lovers.","Fiction, Romance, Historical","Fiction, Romance, Historical",en,469.0,Mass Market Paperback,https://images.isbndb.com/covers/2021683482385.jpg,,0.68253136,False
7859,0670894885,Jane Austen (Penguin Lives),Carol Shields,2001,Viking Penguin Inc,"In her fictional biography, The Stone Diaries, Carol Shields created an astonishing portrait of Daisy Goodwill Flett, a modern woman struggling to understand her place in her own life. With the same sensitivity and artfulness that are the trade-marks of her award-winning novels, Shields here explores the life of a writer whose own novels have engaged and delighted readers for the past two hundred years.<br/>In Jane Austen, Shields follows this superb and beloved novelist from her early family life in Steventon to her later years in Bath, her broken engagement, and her intense relationship with her sister Cassandra. She reveals both the very private woman and the acclaimed author behind the enduring classics Sense and Sensibility, Pride and Prejudice, and Emma. With its fascinating insights into the writing process from an award-winning novelist, Carol Shields's magnificent biography of Jane Austen is also a compelling meditation on how great fiction is created.","AUSTEN, JANE, 1775-1817, AUTHORS, ENGLISH, AUTHORS_BIOGRAPHY","AUSTEN, JANE, 1775-1817, AUTHORS, ENGLISH, AUTHORS_BIOGRAPHY",en,185.0,Hardcover,https://images.isbndb.com/covers/23622343482426.jpg,,0.6814436,False
4975,0399151613,The Jane Austen Book Club,Karen Joy Fowler,2004,Marian Wood Book,"As six Californians get together to form a book club to discuss the novels of Jane Austen, their lives are turned upside down by troubled marriages, illicit affairs, changing relationships, and love, in a comedy of contemporary manners. By the author of Sarah Canary.","FICTION_HUMOROUS_GENERAL, CALIFORNIA_FICTION","FICTION_HUMOROUS_GENERAL, CALIFORNIA_FICTION",en,304.0,Hardcover,https://images.isbndb.com/covers/2425433482330.jpg,,0.68118846,False
12101,0553583549,The Protector,MADELINE HUNTER,2001,Bantam,"<b>A captivating new writer at an irresistible price<br></b><br> Critically acclaimed as ""one of the brightest new writers in the genre,"" (<i>Publishers Weekly</i>) Madeline Hunter has taken the world of historical romance by storm with her sensually powerful novels that feature strong heroines, provocative heroes, and timeless passion. Now this hugely talented author offers us a new tale filled with her trademark blend of danger, adventure, and sizzling seduction.<br> <br> The first time he laid eyes on her she had come to his rescue with a sword in her hand. Still Morvan Fitzwaryn had never seen any woman who aroused his interest and his passion more than the unconventional Breton warrior beauty. Anna de Leon took him into her castle and nursed him back to health, little knowing the spark of desire she was feeding with her caring ministrations. It wasn't long before Morvan had vowed to protect and conquer this unconquerable woman with all the sensual weapons at his disposal.<br> <br> For her part, Anna de Leon had no interest in men as lovers or husbands. She was used to commanding men in battle. But she suddenly had the strange feeling that her well-fortified defenses could be breached by this dark-eyed, smolderingly handsome English knight. When her castle is besieged by an old enemy who claims both her and her lands, Anna finds she has no choice but to accept Morvan's aid — even if the enemy outside her walls is no match for the ally within, who with every tantalizing kiss and forbidden embrace threatens to make her a prisoner of her own fiery passion.","Fiction, Romance, Historical, Suspense, Medieval, Action & Adventure","Fiction, Romance, Historical",en,339.0,Mass Market Paperback,https://images.isbndb.com/covers/2026253482385.jpg,,0.68104213,False
4433,0553575937,Jane and the Unpleasantness at Scargrave Manor: Being the First Jane Austen Mystery (Jane Austen Mysteries (Paperback)),Stephanie Barron,1997,Bantam Books,"For everyone who loves Jane Austen...a marvelously entertaining new series that turns the incomparable author into an extraordinary sleuth!<br><br>On a visit to the estate of her friend, the young and beautiful Isobel Payne, Countess of Scargrave, Jane bears witness to a tragedy. Isobel's husband—a gentleman of mature years—is felled by a mysterious and agonizing ailment. The Earl's death seems a cruel blow of fate for the newly married Isobel. Yet the bereaved widow soon finds that it's only the beginning of her misfortune...as she receives a sinister missive accusing her and the Earl's nephew of adultery—and murder. Desperately afraid that the letter will expose her to the worst sort of scandal, Isobel begs Jane for help. And Jane finds herself embroiled in a perilous investigation that will soon have her following a trail of clues that leads all the way to Newgate Prison and the House of Lords—a trail that may well place Jane's own person in the gravest jeopardy.","Fiction, Mystery & Detective, Historical, Women Sleuths, Cozy","Fiction, Mystery & Detective, Historical",en,352.0,Mass Market Paperback,https://images.isbndb.com/covers/1950193482385.jpg,,0.6794734,False
6611,0312290888,Jane Austen in Boca: A Novel,Paula Marantz Cohen,2002,St. Martin's Press,"<i>It is a truth universally acknowledged that a nice Jewish widower must be in want of a wife.</i><br><br>Jane Austen centered her classic novels of manners around ""three or four families in a country village."" So does Paula Marantz Cohen in her novel, a witty twist on Pride and Prejudice--except this time, the ""village"" is Boca Raton, Florida. <br><br>Eligible men, especially ones in possession of a good fortune and country club privileges, are scarce. When goodhearted meddler Carol Newman learns that the wealthy Norman Grafstein has lost his wife, she resolves to marry<br>him off to her lonely mother-in-law, May.<br><br>The novel charts the progress of May's love life as well as that of her two closest friends: the strong-minded former librarian Flo Kliman and the flamboyant Lila Katz. If there weren't confusion enough, Flo's great-niece Amy, a film student at NYU, suddenly arrives with a camera crew determined to get it all on tape.<br><br>Will May and Norman eventually find happiness? Will Flo succumb to the charms of the suavely cosmopolitan Mel Shirmer? Will Amy's movie about them win an Academy Award--or at least a prize at the NYU student film competition?<br><br>Complications and misunderstandings abound in this romantic and perceptive comedy of manners.<br>","Fiction, Romance, Biographical, Women","Fiction, Romance, Biographical",en,258.0,Hardcover,https://images.isbndb.com/covers/4477663482299.jpg,,0.6793724,False
3456,0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone,"<b>The #1 <i>New York Times </i>bestseller from “the queen of royal fiction” (<i>USA TODAY</i>) Philippa Gregory is a rich, compelling novel of love, sex, ambition, and intrigue surrounding the Tudor court of Henry VIII, Anne Boleyn, and the infamous Boleyn family.</b><br><br>When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of the handsome and charming Henry VIII. Dazzled by the king, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realizes just how much she is a pawn in her family’s ambitious plots as the king’s interest begins to wane, and soon she is forced to step aside for her best friend and rival: her sister, Anne. With her own destiny suddenly unknown, Mary realizes that she must defy her family and take fate into her own hands.<br> <br>With more than one million copies in print and adapted for the big screen,<i> The Other Boleyn Girl</i> is a riveting historical drama. It brings to light a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamorous court in Europe, and survived a treacherous political landscape by following her heart.","Fiction, Historical, Renaissance, Romance, Women","Fiction, Historical, Renaissance",en,672.0,Paperback,https://images.isbndb.com/covers/16717373482452.jpg,,0.6784204,False
2273,0060505249,Where's My Hero?,Lisa Kleypas,2003,Avon Books,"<p> Dear Avon Books, </p> <p> Where are my heroes? Whenever I'm reading a book by one of my favorite authors I find I'm falling for the wrong guy -- not the hero, but the other man -- and what I really want is for him to have his own story. </p> <p> Like Jake Linley, from <i>Someone to Watch Over Me</i> by Lisa Kleypas…that doctor could sit by my bedside if I ever got sick. And Ned Blydon in <i>Splendid</i> by Julia Quinn...he makes me want to learn to waltz! I never thought living in a drafty castle would be much fun until Simon of Ravenswood in <i>Master of Desire</i> by Kinley MacGregor came along. </p> <p> Anyway, I just wanted to let you know that these are my men -- when do they get their stories? </p> <p> Sincerely,<br> A Romance Fan </p> <p> Some books are so special that there is more than one hero to love, but only a single story is told. So if you find yourself asking, ""Where is my hero?"" you'll discover the answer right here in this delicious collection by New York Times bestseller Lisa Kleypas, <i>New York Times</i> bestseller Julia Quinn and <i>USA Today</i> bestseller Kinley MacGregor. </p>","Fiction, Romance, Historical","Fiction, Romance, Historical",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/14342293482209.jpg,,0.677998,False
30,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,"<p>Introduction and Notes by Michael Irwin, Professor of English Literature, University of Kent at Canterbury.</p> <p>Set in Hardy's Wessex, Tess is a moving novel of hypocrisy and double standards. Its challenging sub-title, A Pure Woman, infuriated critics when the book was first published in 1891, and it was condemned as immoral and pessimistic.</p> <p>It tells of Tess Durbeyfield, the daughter of a poor and dissipated villager, who learns that she may be descended from the ancient family of d'Urbeville. In her search for respectability her fortunes fluctuate wildly, and the story assumes the proportions of a Greek tragedy. It explores Tess's relationships with two very different men, her struggle against the social mores of the rural Victorian world which she inhabits and the hypocrisy of the age.</p> <p>In addressing the double standards of the time, Hardy's masterly evocation of a world which we have lost, provides one of the most compelling stories in the canon of English literature, whose appeal today defies the judgement of Hardy's contemporary critics.</p>","Fiction, Classics, Literary","Fiction, Classics, Literary",en,446.0,Unknown Binding,https://images.isbndb.com/covers/23156433482847.jpg,,0.6779407,False
2268,0449006379,Lord of Fire,Gaelen Foley,2002,Ivy Books,"<b><i>Gaelen Foley has become one of the hottest new writers in romance, enticing her readers with bold love stories that burn with emotional intensity. Now in new novel, she presents her most unforgettable hero yet, the irresistible Lord of Fire.<br></i></b><br>After years of preparation, he has baited his trap well, luring the depraved members of Society into his devil’s playground so he can earn their trust and uncover their secrets. Yet no one in London suspects that Lord Lucien Knight is England’s most cunning spy, an officer who has sacrificed his soul for his country. Now an unexpected intruder has invaded his fortress of sin, jeopardizing his carefully laid plans–and igniting his deepest desires.<br><br>Beautiful, innocent, Alice Montague finds herself at the mercy of scandalous Lord Lucien. But as he begins his slow seduction to corrupt her virtue, Alice glimpses a man tormented by his own choices, a man who promises her nothing except his undeniable passion. . . .","Fiction, Romance, Historical, Regency, Suspense, Action & Adventure","Fiction, Romance, Historical",en,432.0,Mass Market Paperback,https://images.isbndb.com/covers/23514623482347.jpg,,0.6777296,False
7460,0515127213,The Courtship,Catherine Coulter,2000,Jove Books,"<b>The stunning Regency-era romance from #1 <i>New York Times </i>bestselling author Catherine Coulter.</b><br><br>Characters from two of Coulter’s most beloved novels in the Sherbrooke Bride series find each other in <i>The Courtship</i>. Helen Mayberry of <i>Mad Jack</i> has one passion: to track down a mystical treasure. That is, until she meets the thoroughly wicked Spenser Heatherington in a clash of the titans.","Fiction, Romance, Historical, Regency, Action & Adventure","Fiction, Romance, Historical",en,352.0,Mass Market Paperback,https://images.isbndb.com/covers/10664093482371.jpg,,0.67711747,False
3856,0525945814,Falling Angels,Tracy Chevalier,2001,Dutton Books,"In a novel of manners and social divisions set against the backdrop of turn-of-the-century England, two girls from different classes become friends, and their families' lives become intertwined in the process. By the author of Girl With a Pearl Earring. 125,000 first printing.","FRIENDSHIP_FICTION, ENGLAND_FICTION, LONDON (ENGLAND)_FICTION, FICTION_HISTORICAL_GENERAL, FICTION_SAGAS","FRIENDSHIP_FICTION, ENGLAND_FICTION, LONDON (ENGLAND)_FICTION",en,256.0,Hardcover,https://images.isbndb.com/covers/6506943482375.jpg,,0.67692417,False
2685,0330375253,Bridget Jones's Diary,Helen Fielding,2001,Picador,"'Helen Fielding is one of the funniest writers in Britain and Bridget Jones is a creation of comic genius' Nick Hornby. Now a major motion picture from Universal Pictures starring Renée Zellweger, Hugh Grant and Colin Firth.Bridget Jones's Diary was first published in 1996 and applauded by critics from Salman Rushdie to Jilly Cooper. A number one best-seller, Helen Fielding's book has sold over fifteen million copies worldwide and has been turned into an Academy Award-nominated film starring Renee Zellweger, Colin Firth and Hugh Grant. Bridget Jones's Diary is followed by Bridget Jones: The Edge of Reason and Bridget Jones: Mad About the Boy. Bridget Jones is everyone's favourite spinster. In Bridget Jones's Diary she documents her struggles through the social minefield of her 30s and tries to weigh up the eternal question: Daniel Cleaver of Mark Darcy? She is supported through the whole process by four indispensable friends, Shazzer, Jude, Tom and a bottle of chardonnay. A dazzling urban satire of modern relationships? An ironic, tragic insight into the demise of the nuclear family? Or the confused ramblings of a pissed thirty-something?","Fiction, Humorous, Literary, Women","Fiction, Humorous, Literary",en,310.0,Paperback,https://images.isbndb.com/covers/16806573482305.jpg,,0.6757606,False
13802,0140430962,The Woman in White (The Penguin English Library),Wilkie Collins,1975,Penguin Books,"Novel by Wilkie Collins, published ... in book form in 1860. Noted for its suspenseful plot and unique characterization, the successful novel brought Collins great fame; he adapted it into a play in 1871. This dramatic tale, inspired by an actual criminal case, is told through multiple narrators. Frederick Fairlie, a wealthy hypochondriac, hires virtuous Walter Hartright to tutor his beautiful niece and heiress, Laura, and her homely, courageous half-sister, Marian Halcombe. Although Hartright and Laura fall in love, she honors her late father's wish that she marry Sir Percival Glyde, a villain who plans to steal her inheritance. Glyde is assisted by sinister Count Fosco, a cultured, corpulent Italian who became the archetype of subsequent villains in crime novels. Their plot is threatened by Anne Catherick, a mysterious fugitive from a mental asylum who dresses in white, resembles Laura, and knows the secret of Glyde's illegitimate birth. Through the perseverance of Hartright and Marian, Glyde and Fosco are defeated and killed, allowing Hartright to marry Laura. -- The Merriam-Webster Encyclopedia of Literature.","Fiction, Classics, Literary, Mystery & Detective","Fiction, Classics, Literary",en,648.0,Mass Market Paperback,https://images.isbndb.com/covers/27197443482237.jpg,,0.6755072,False
13838,0141439599,Tess of the D'Urbervilles (Penguin Classics),Thomas Hardy,2003,Penguin Books,"<b>A heartbreaking portrayal of a woman faced by an impossible choice in the pursuit of happiness </b><br><br>When Tess Durbeyfield is driven by family poverty to claim kinship with the wealthy D'Urbervilles and seek a portion of their family fortune, meeting her 'cousin' Alec proves to be her downfall. A very different man, Angel Clare, seems to offer her love and salvation, but Tess must choose whether to reveal her past or remain silent in the hope of a peaceful future. With its sensitive depiction of the wronged Tess and powerful criticism of social convention, Tess of the D'Urbervilles, subtitled ""A Pure Woman,"" is one of the most moving and poetic of Hardy's novels. <br><br> Based on the three-volume first edition that shocked readers when first published in 1891, this edition includes as appendices: Hardy's Prefaces, the Landscapes of Tess, episodes originally censored from the Graphic periodical version, and a selection of the Graphic illustrations.<br><br>For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Fiction, Classics, Literary, Romance, Suspense","Fiction, Classics, Literary",en,592.0,Paperback,https://images.isbndb.com/covers/9197923482238.jpg,,0.6754663,False
2330,1573229083,My Dream of You,Nuala O'Faolain,2002,Riverhead Books,"<b>A <i>New York Times</i> notable book and bestseller, this debut novel from <i>Irish Times</i> columnist Nuala O'Faolain takes on life and love with Dickensian flair and the striking intimacy that characterized her bestselling and acclaimed memoir, <i>Are You Somebody? </i></b><br><br>Set in Ireland and spanning a century and a half, <i>My Dream of You </i>unfolds the compelling stories of two women and their quests for passion, connection, and fulfillment.  A globetrotting Irish travel writer, Kathleen de Burca is used to living—and loving—on the run. On the brink of fifty, she decides to leave her job and rethink her life. Intrigued by a divorce case dating back to the days of the Potato Famine, she tries hand at writing about it. The case, called ""The Talbot Affair,"" detailed the clandestine liaison between the wife of a British landlord and an Irish servant in Ireland in the 1850s. After a bitter thirty-year absence, Kathleen returns to Ireland, the land of her troubled childhood and turbulent heritage, in search of answers to her questions about desire and lasting love.","Fiction, Literary","Fiction, Literary",en,544.0,Paperback,https://images.isbndb.com/covers/3339893482748.jpg,,0.6745562,False
6997,0553578375,Jane and the Stillroom Maid (Jane Austen Mysteries (Paperback)),Stephanie Barron,2001,Bantam Books,"Jane Austen is enjoying August, 1806, among Derbyshire's craggy peaks, sparkling streams, and cavernous gorges. That is, until she discovers the corpse of a young gentleman whose blond curls and delicate features suggest the face of an angel. <br><br>More shocking still is the coroner's revelation: the deceased is no man but a maidservant — clad in the garb of her master, Mr. Charles Danforth of Penfolds Hall. Tess Arnold had ruled the stillroom at Penfolds for many years — until she was labeled a witch and dismissed for indiscretion. Was Tess the prey of a madman loose in the hills, or perchance the cast-off impediment to a gentleman's marriage? <br><br>As usual, Jane's acute perception and her nose for trouble place her supremely at risk — from a killer who may strike as violently by day as he once did by night....","Fiction, Mystery & Detective, Historical, Women Sleuths","Fiction, Mystery & Detective, Historical",en,336.0,Mass Market Paperback,https://images.isbndb.com/covers/1974643482385.jpg,,0.67407876,False
11752,0380820064,And Then He Kissed Me (Avon Romance),Patti Berg,2003,Avon,"<p>Bestselling mystery author Juliet Bridger is the epitome of success. Her forensic mystery novels and the movies made from them have made her a multimillionaire, and she′s dated - but hasn′t fallen in love with - the same computer whiz-kid billionaire for the past five years. In other words, her life has become dull and monotonous.</p> <p> To spice things up (and do research for her next book at the same time) she takes a new name and a new life in small-town Wyoming. Once there, she′s surprised to discover that the ′Doc′ in town isn′t some wrinkly old man but young and fabulously stunning vet Cole Sheridan. Suddenly her masquerade starts to backfire - how can she possibly explain her web of lies when she′s fallen in love with the town - and with its vet in particular?</p>","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/15710443482323.jpg,,0.6732495,False
1247,0553583077,To Kiss a Spy (Get Connected Romances),JANE FEATHER,2003,Bantam,"<i>New York Times</i> bestselling author Jane Feather has won legions of fans and critical accolades for her sweeping romances portraying a unique blend of sizzling seduction and dangerous intrigue. In this first of two romances featuring two unconventional sisters whose quest to solve the mystery surrounding their lives puts each of them in the path of a dangerously irresistible hero, Jane Feather tells the story of a daring young widow and a master spy engaged in a duel of wits--and seduction--to uncover a dark secret....<br><br><b>To Kiss a Spy<br><br></b>Lady Pen Bryantson had been caught red-handed looking for clues among her mother-in-law’s papers. But the mystery she sought to uncover only deepened with the sudden appearance of a man whose mere presence sent shivers of excitement coursing through her. What could this dangerously seductive man who moved with a courtier’s charm and brandished an assassin’s skill want with someone as ordinary as she was? <br><br>But to Owen D’Arcy, the bewitching young woman he’d been assigned to ensnare was anything but ordinary. With a single kiss, the sophisticated spy found that he’d been unexpectedly disarmed. Determined to seduce her on his own terms, Owen offered Pen a devil’s bargain she had no choice but to accept. Now they would both go undercover, only to find themselves drawn into a world of deception and double cross, where anyone could be the deadliest of enemies--and their own uncontrolled passion the most dangerous threat of all.","Fiction, Romance, Historical, Medieval, Suspense, Action & Adventure","Fiction, Romance, Historical",en,432.0,Mass Market Paperback,https://images.isbndb.com/covers/2021613482385.jpg,,0.6732446,False
11857,0515116246,The Nightingale Legacy,Catherine Coulter,1995,Jove Books,<b> An exhilarating Regency romance from the #1 <i>New York Times</i> bestselling author. </b><br><br> The second novel in Catherine Coulter's acclaimed Legacy trilogy.,"Fiction, Romance, Historical, Regency, Suspense","Fiction, Romance, Historical",en,464.0,Mass Market Paperback,https://images.isbndb.com/covers/10554343482371.jpg,,0.6729978,False
4471,0684849690,The SECRET DIARY OF ANNE BOLEYN,Robin Maxwell,1998,Touchstone,"In this ""energetic"" <i>(Kirkus Reviews)</i> re-creation of Anne Boleyn's tragic life -- and death -- Robin Maxwell offers a pitch-perfect version of a bawdy and exuberant time filled with lust, betrayal, love, and murder. <br> When the young Queen Elizabeth I is entrusted with Anne Boleyn's secret diary, she discovers a great deal about the much-maligned mother she never knew. And on learning the truth about her lascivious and despotic father, Henry VIII, she vows never to relinquish control to any man. But this avowal doesn't prevent Elizabeth from pursuing a torrid love affair with her horsemaster, Robin Dudley -- described with near-shocking candor -- as too are Anne's graphic trysts with a very persistent and lustful Henry. Blending a historian's attention to accuracy with a novelist's artful rendering, Maxwell weaves compelling descriptions of court life and devastating portraits of actual people into her naughty, page-turning tale. The result is a masterpiece of historical fiction -- so prophetic of our time that one would think it were ripped from today's headlines.","Fiction, Historical, Renaissance, Romance, Tudor, Women","Fiction, Historical, Renaissance",en,288.0,Paperback,https://images.isbndb.com/covers/22741413482431.jpg,,0.6727618,False
6244,0385491107,Life Before Man,Margaret Atwood,1998,Anchor Books/Doubleday,"A particularly complicated love triangle sets this poetic novel in motion—from the bestselling author of The Handmaid's Tale and The Testaments<br/><br/>Elizabeth and Nate, though habitually unfaithful to each other, have remained married for more than a decade. But after Elizabeth’s latest lover commits suicide, she emerges from her grief to find that her gentle, indecisive husband is on the verge of leaving her. He has become enamored of Lesje, a young paleontologist and perennial innocent who seems to prefers dinosaur fossils to humans. Elizabeth sets her sights on Lesje’s live-in boyfriend, William, and the ensuing emotional maelstrom threatens to upend all of their lives. Blending painful honesty with cutting satire, Margaret Atwood give us characters whose haunting dilemmas linger long after the final page.","CANADIAN FICTION (FICTIONAL WORKS BY ONE AUTHOR), MAN-WOMAN RELATIONSHIPS_FICTION, MARRIED PEOPLE_FICTION","CANADIAN FICTION (FICTIONAL WORKS BY ONE AUTHOR), MAN-WOMAN RELATIONSHIPS_FICTION, MARRIED PEOPLE_FICTION",en,384.0,Paperback,https://images.isbndb.com/covers/6249303482325.jpg,,0.6721351,False
4721,0515111317,The Heiress Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,Jove Books,"<b>The third Bride novel is a charm—from the #1 <i>New York Times </i>bestselling author.<br><br></b>Sinjun Sherbrooke is bored with the London season, until she spies Colin Kinross across a crowded dance floor—and offers to be his bride...<br><br>The Sherbrooke series also includes <i>The Sherbrooke Bride</i>, <i>The Hellion Bride</i>, <i>The Scottish Bride</i>, <i>Mad Jack</i>, <i>The Courtship,</i> <i>Pendragon,</i> <i>The Sherbrooke Twins</i>, <i>Lyon's Gate</i>, <i>Wizard's Daughter</i>, and <i>Prince of Ravenscar</i>.","Fiction, Romance, Historical, Regency, Short Stories (single author), Suspense","Fiction, Romance, Historical",en,416.0,Mass Market Paperback,https://images.isbndb.com/covers/10505073482371.jpg,,0.6717155,False
3656,0140449124,Madame Bovary,Gustave Flaubert,2003,Penguin Books,"<b>The notorious and celebrated novel that established modern realism</b><br> <br>For this novel of French bourgeois life in all its inglorious banality, Flaubert invented a paradoxically original and wholly modern style. His heroine, Emma Bovary, a bored provincial housewife, abandons her husband to pursue the libertine Rodolphe in a desperate love affair. A succès de scandale in its day, <b>Madame Bovary</b> remains a powerful and scintillating novel.<br><br>This Penguin Classics edition is translated with notes and an introduction by Geoffrey Wall. It includes a preface by Michele Roberts. <br><br>For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Fiction, Classics, Literary, Romance","Fiction, Classics, Literary",en,384.0,Paperback,https://images.isbndb.com/covers/27379063482237.jpg,,0.6712234,False
