ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview
0394900014,Cat in the Hat (I Can Read It All by Myself Beginner Books),Seuss,1957,Random House Books for Young Readers,"The classic picture book that introduced the world to the iconic, mischievous Cat in the Hat and the beloved characters Thing One and Thing Two! Dr. Seuss makes reading fun for kids of all ages.<br/><br/>“I know some new tricks,” said the Cat in the Hat. “A lot of good tricks. I will show them to you. Your mother will not mind at all if I do.”<br/><br/>A rainy day turns into a wild romp when the Cat in the Hat and his troublemaking friends, Thing One and Thing Two, unexpectedly appear! A favorite among kids, parents, and teachers, this story uses simple words and basic rhyme to encourage and delight beginning readers.<br/><br/>Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.","CHILDREN'S FICTION, CATS_FICTION, STORIES IN RHYME, CAT IN THE HAT (FICTITIOUS CHARACTER)_FICTION, LARGE TYPE BOOKS","CHILDREN'S FICTION, CATS_FICTION, STORIES IN RHYME",en,61.0,Hardcover,https://images.isbndb.com/covers/16081063482328.jpg,
0894803123,Ben & Jerry's Homemade Ice Cream &amp; Dessert Book,Ben Cohen,1987,Workman Publishing,"With little skill, surprisingly few ingredients, and even the most unsophisticated of ice-cream makers, you can make the scrumptious ice creams that have made Ben & Jerry's an American legend.<p><i>Ben & Jerry's Homemade Ice Cream & Dessert Book</i> tells fans the story behind the company and the two men who built it-from their first meeting in 7th-grade gym class (they were already the two widest kids on the field) to their ""graduation"" from a $5.00 ice-cream-making correspondence course to their first ice-cream shop in a renovated gas station.</p> But the best part comes next. Dastardly Mash, featuring nuts, raisins, and hunks of chocolate. The celebrated Heath Bar Crunch. New York Super Fudge Chunk. Oreo Mint. In addition to Ben & Jerry's 11 greatest hits, here are recipes for ice creams made with fresh fruit, with chocolate, with candies and cookies, and recipes for sorbets, sundaes, and baked goods.","Cooking, Courses & Dishes, Desserts, Specific Ingredients, Dairy, Methods","Cooking, Courses & Dishes, Desserts",en,128.0,Paperback,https://images.isbndb.com/covers/15841493482506.jpg,
0440225892,"The Heiress (Bride Quest Series, 3)",Claire Delacroix,1999,Dell Publishing Company,"""When you open a book by Claire Delacroix, you open a treasure chest of words, rare and exquisite!""<br> --<i>Rendezvous</i><br> <br> <br> ""I seek a bride, the wealthiest heiress in Ireland.""<br> <br> No woman can resist the charms of Rowan de Montvieux. But the dashing rogue is in no hurry to marry--until his family dares him to find a bride . . . or risk losing his inheritance. So Rowan sets out on a Bride Quest, vowing to wed only . . .<b>The Heiress</b>.<br> <br> But his journey is interrupted when a slave merchant offers to sell him a ragged peasant girl who carries herself like a queen. Intrigued and never imagining she is the sought-after Bronwyn of Ballyroyal, an heiress in disguise, Rowan buys her, offering her his protection if she will lead him to the bride he seeks.<br> <br> Never has he met a woman so proud, so beautiful, so defiant. He suspects she is no commoner and vows to uncover her secrets and melt her fiery resolve. But the perilous voyage to Ireland kindles passions that risk both their lives, as the slave girl who would not be mastered slowly takes possession of his wary heart. . . .<br> <br> <br> Don't miss the first two novels in the breathtaking Bride Quest trilogy: <b>The Princess</b> and <b>The Damsel</b>, both available from Dell.","Fiction, Romance, Historical","Fiction, Romance, Historical",en,364.0,Paperback,https://images.isbndb.com/covers/19967223482344.jpg,
0553575007,Touch of Enchantment,Teresa Medeiros,1997,Bantam Books,"From the bestselling author of ""Breath of Magic"" and ""Shadows andLace"" comes a beguiling new time-travel love story in the hilarious, magicalvoice that has made Teresa Medeiros one of the nation's most beloved romancewriters.<p>Heiress Tabitha Lennox considered her paranormal talents more a curse than agift. So she dedicated her life to the cold, rational world of science. Untilthe day she examined the mysterious amulet her mother had left her and foundherself catapulted seven centuries into the past--directly into the path of arearing black charger ridden by a chain-mailed warrior.<p>Sir Colin of Ravenshaw had returned from the Crusades to find his castle inruins, his enemy poised to overrun the land where generations of Ravenshaws hadruled. The last thing he expected was to half trample a damsel with odd garband even odder manners. But it is her strange talent that will create troublebeyond Colin's wildest imaginings. For everyone knows that a witch must beburned...but it is Colin's heart that is aflame, over an enchanting woman hemust not love, yet cannot live without.<p>Don't forget to enter our Romance Readers Never Go to Bed Alone Getaway Package contest!</p></p></p>","Fiction, Romance, Historical, Time Travel","Fiction, Romance, Historical",en,352.0,Mass Market Paperback,https://images.isbndb.com/covers/1940873482385.jpg,
0553563343,Breath of Magic,Teresa Medeiros,1996,Bantam Books,"<b>From the nationally bestselling author of <i>Fairest of Them All</i> comes this bewitching time-travel romance that shimmers with love and laughter. </b><br> <b> </b><br> An enchantress from seventeenth-century Massachusetts collides with a future beyond her imagining . . . and with a handsome cynic who’s about to learn a lesson in the power of love.<br><br> Arian Whitewood hadn’t quite gotten the hang of the powerful amulet she’d inherited from her mother, but she never expected it to whisk her more than three hundred years into the future. Flying unsteadily on her broomstick, she suddenly finds herself among towers of glass and metal, then tumbling from the sky to land at the feet of a man with frost-gray eyes and a seemingly flint-hard heart.<br>  <br> Reclusive billionaire Tristan Lennox didn’t believe in magic, but he had his own reasons for offering one million dollars to anyone who could prove it existed. Now he finds himself besieged by fakes, frauds, and an old nemesis ready to leap on this opportunity to destroy him. But the smoky-voiced beauty who appeared to fall from the clouds into his climate-controlled existence is something else entirely—a woman able to enchant his lonely heart with wonder, but who can’t possibly be what she seems.","Fiction, Romance, Historical, 20th Century, Time Travel, Paranormal","Fiction, Romance, Historical",en,400.0,Mass Market Paperback,https://images.isbndb.com/covers/1824293482385.jpg,
0743411439,Bitterroot,James Lee Burke,2002,Pocket,"Following his acclaimed bestseller <i>Purple Cane Road,</i> James Lee Burke returns with a triumphant tour de force. <br> Set in the Bitterroot Valley of Montana, home to celebrities seeking to escape the pressures of public life, as well as to xenophobes dedicated to establishing a bulkhead of patriotic paranoia, Burke's novel features Billy Bob Holland, former Texas Ranger and now a Texas-based lawyer, who has come to Big Sky Country for some fishing and ends up helping out an old friend in trouble. <br> And big trouble it is, not just for his friend but for Billy Bob himself -- in the form of Wyatt Dixon, a recent prison parolee sworn to kill Billy Bob as revenge for both his imprisonment and his sister's death, both of which he blames on the former Texas lawman. As the mysteries multiply and the body count mounts, the reader is drawn deeper into the tortured mind of Billy Bob Holland, a complex hero tormented by the mistakes of his past and driven to make things -- all things -- right. But beneath the guise of justice for the weak and downtrodden lies a tendency for violence that at times becomes more terrifying than the danger he is trying to eradicate. <br> As <i>USA Today</i> noted in discussing the parallels between Billy Bob Holland and Burke's other popular series hero, David Robicheaux, ""Robicheaux and Holland are two of a kind, white-hat heroes whose essential goodness doesn't keep them from fighting back. The two series describe different landscapes, but one theme remains constant: the inner conflict when upright men are provoked into violence in defense of hearth, home, women, and children. There are plenty of parallels. Billy Bob is an ex-Texas Ranger; Dave is an ex-New Orleans cop. Dave battles alcoholism and the ghosts of Vietnam; Billy Bob actually sees ghosts, including the Ranger he accidentally gunned down....But most of all, both protagonists hold a vision of a pure and simple life."" <br> In <i>Bitterroot,</i> with its rugged and vivid setting, its intricate plot, and a set of remarkable, unforgettable characters, and crafted with the lyrical prose and the elegiac tone that have inspired many critics to compare him to William Faulkner, James Lee Burke has written a thriller destined to surpass the success of his previous novels.","Fiction, Mystery & Detective, Thrillers, Action & Adventure","Fiction, Mystery & Detective, Thrillers",en,480.0,Mass Market Paperback,https://images.isbndb.com/covers/18557233482452.jpg,
0553347233,The Beet Queen,Louise Erdrich,1989,Bantam Books,"Now, from the award-winning author of ""Love Medicine, "" comes a vibrant tale of abandonment and sexual obsession, jealousy and unstinting love. On a spring morning in 1932, young Karl and Mary Adare arrive by boxcar in Argus, North Dakota. Orphaned in a most peculiar way, Karl and Mary look for refuge to their mother's sister Fritzie, who with her husband, Pete, runs a butcher shop. So begins an exhilerating 40-year saga brimming with unforgettable characters: Ordinary Mary, who causes a miracle; seductive Karl, who lacks Mary's gift for survival; Sita, their lovely, disturbed, ambitious cousin; Wallace Pfef, a town leader bearing a lonely secret; Celestine James, a mixed-blood Chippewa; and her daughter, Dot. Theirs is a story grounded in the tenacity of relationships, the magic of natural events and the unending mystery of the human condition.","Fiction, Literary","Fiction, Literary",en,338.0,Paperback,https://images.isbndb.com/covers/27748983482384.jpg,
0767900383,Under the Tuscan Sun,Frances Mayes,1997,Broadway,"<b>#1 <i>NEW YORK TIMES</i> BESTSELLER • The beloved memoir of self-discovery set against the spectacular Tuscan countryside that inspired the major motion picture starring Diane Lane—now in a twentieth-anniversary edition featuring a new afterword<br> <br>“This beautifully written memoir about taking chances, living in Italy, loving a house and, always, the pleasures of food, would make a perfect gift for a loved one. But it’s so delicious, read it first yourself.”—<i>USA Today<br></i></b> <br><b>For more Frances Mayes, including a tour of her now iconic Cortona home, Bramasole, watch PBS’s <i>Dream of Italy: Tuscan Sun Special</i>!</b> <br>  <br>More than twenty years ago, Frances Mayes—widely published poet, gourmet cook, and travel writer—introduced readers to a wondrous new world when she bought and restored an abandoned Tuscan villa called Bramasole. <i>Under the Tuscan Sun</i> inspired generations to embark on their own journeys—whether that be flying to a foreign country in search of themselves, savoring one of the book’s dozens of delicious seasonal recipes, or simply being transported by Mayes’s signature evocative, sensory language. Now with a new afterword from Frances Mayes, the twentieth-anniversary edition of <i>Under the Tuscan Sun </i>revisits the book’s most popular characters.","Biography & Autobiography, Personal Memoirs, Travel, Europe, Italy, Women","Biography & Autobiography, Personal Memoirs, Travel",en,320.0,Paperback,https://images.isbndb.com/covers/10674673482461.jpg,
0786889055,Voodoo River (Elvis Cole Novels (Paperback)),Robert Crais,1996,Hyperion,"Hired by popular television star Jodie Taylor to find the biological parents who gave her up for adoption thirty-six years earlier, Los Angeles private eye Elvis Cole becomes suspicious when other investigators searching for Jodie's parents are killed. Reprint. PW.","Fiction, Mystery & Detective","Fiction, Mystery & Detective",en,416.0,Mass Market Paperback,https://images.isbndb.com/covers/3960793482468.jpg,
0440212626,Hard Fall,Ridley Pearson,1992,Dell Publishing Company,"First there was Lockerbie. Then Eurotour's Flight 1023. Now the bomber is ready to strike again! The bombing of Eurotours flight 1023 was big news. To FBI agent Cam Daggett it was more than that. It was personal. His parents and son were on that plane. And for two years he's been after the killer who did it. All he has is a name: Anthony Kort . . .and the knowledge that Kort is in the United States with a detonator no airport security can detect. <p><br>Cam's colleagues at the Bureau and his girlfriend tell him to get behind a desk, to leave the investigation to other agents. But Cam has painstakingly built a portrait of the terrorist, and he alone has a snowball's chance in hell of predicting Kort's next target. Except hell is a much kinder, gentler place than where Cam's headed -- into Kort's depraved world of madness and revenge.","Fiction, Thrillers, Espionage, Mystery & Detective, Police Procedural, Suspense, City Life","Fiction, Thrillers, Espionage",en,403.0,Mass Market Paperback,https://images.isbndb.com/covers/19834453482344.jpg,
0449131793,Barrier Island,John D. MacDonald,1991,Fawcett Books,"There are two kinds of men in Mississippi. They make natural enemies. And sometimes, but only if the balance between strength and weakness tips too far, unnatural allies.<br>Tucker Loomis is a hard and dangerous man with a ruthlessness all West Bay fears and respects, and an improbable amount of money. Wade Rowley is a common man who aspires to honor but gets caught up in the footwork of a skilled swindler.<br>In a pitiless game, with a few harsh rules and just one way of keeping score, the wrong man will die. And another will get away with more than murder.<br>""Lively, gritty . . . complex and convincing . . . Mr. MacDonald writes with passion!"" -- The New York Times Book Review","Fiction, Mystery & Detective, Hard-Boiled","Fiction, Mystery & Detective, Hard-Boiled",en,259.0,Paperback,https://images.isbndb.com/covers/24768813482347.jpg,
0380804697,Paradise Lost,J.A. Jance,2002,Avon,"<p>The New York Times bestselling J.A. Jance is back! Cochise County, Arizona, and Sheriff Joanna Brady faces her most personal and dangerous case when her daughter discovers a body in the Arizona wilderness.</p><p> When Cochise County, Arizona, Sheriff Joanna Brady′s daughter Jenny goes off on a Memorial Day weekend girl scout camp-out in nearby Apache Pass, Joanna trusts that her 12-year-old daughter will behave. But with boy-crazy Dora Matthews as a tentmate, Jenny is seduced into taking a late night unauthorized hike into the wilderness where--instead of smoking a clandestine cigarette--she and Dora stumble upon the body of a murdered Phoenix woman. Knowing that her little girl will be traumatized by her experience, Joanna must balance concern for Jenny with the demands of her new marriage and possible bid for reelection. But when young Dora Matthews herself turns up dead two days later, Joanna′s concern turns to terror. For if Constance Haskell′s killer is murdering potential witnesses, Jenny may be next. </p>","Fiction, Thrillers, Suspense, Mystery & Detective, Women Sleuths, Crime","Fiction, Thrillers, Suspense",en,432.0,Mass Market Paperback,https://images.isbndb.com/covers/15556793482323.jpg,
0425178951,Deep South,Nevada Barr,2001,Berkley Publishing Group,"<b>Nevada Barr's ever-popular Anna Pigeon series is consistently praised as ""exceptional"" (<i>Denver Post</i>), ""stunning"" (<i>Seattle Times</i>), and ""superb"" (<i>New York Times Book Review</i>). </b><br><br><b>In <i>Deep South</i>, Park Ranger Anna Pigeon heads to Mississippi, only to encounter terrible secrets in the heart of the south…</b><br><br>Anna Pigeon finally gives in to her bureaucratic clock and signs on for a promotion. Next thing she knows, she's knee-deep in mud and Mississippi. Not exactly what she had in mind. <br><br>Almost immediately, as the new district ranger on the Natchez Trace, Anna discovers the body of a young prom queen near a country cemetery, a sheet around her head and a noose around her neck. It's a morbind reminder of the town's prejudiced past, which the locals insist is long dormant. <br><br>As fast as the ever-encroaching kudzu vines of the region, the roots of this story run deep-and threaten to suffocate anyone in the way, including Anna...","Fiction, Mystery & Detective, Women Sleuths, Thrillers, Suspense, Cultural Heritage","Fiction, Mystery & Detective, Women Sleuths",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/9926783482339.jpg,
0684865742,Tis: A Memoir,Frank McCourt,2000,Scribner,"A #1 <i>New York Times </i>bestseller and the eagerly anticipated sequel to the Pulitzer Prize–winning <i>Angela’s Ashes</i>, this masterpiece from Frank McCourt tells of his American journey from impoverished immigrant to brilliant teacher and raconteur.<br><br>Frank McCourt’s glorious childhood memoir, <i>Angela’s Ashes,</i> has been loved and celebrated by readers everywhere for its spirit, its wit and its profound humanity. A tale of redemption, in which storytelling itself is the source of salvation, it won the National Book Critics Circle Award, the <i>Los Angeles Times</i> Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape.<br><br>And now we have <i>’Tis,</i> the story of Frank’s American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen, in the company of a priest he meets on the boat. He gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this “classless country,” and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank’s incomparable voice—his uncanny humor and his astonishing ear for dialogue—that renders these experiences spellbinding. <br><br>When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him, that men and women who have dreamed and toiled for years to get to America should “stick to their own kind” once they arrive. Somehow, Frank knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee, long-legged and blonde, and tries to live his dream. But it is not until he starts to teach—and to write—that Frank finds his place in the world. The same vulnerable but invincible spirit that captured the hearts of readers in <i>Angela’s Ashes</i> comes of age. <br><br>As Malcolm Jones said in his <i>Newsweek</i> review of <i>Angela’s Ashes,</i> “It is only the best storyteller who can so beguile his readers that he leaves them wanting more when he is done...and McCourt proves himself one of the very best.” Frank McCourt's <i>’Tis</i> is one of the most eagerly awaited books of our time, and it is a masterpiece.","Biography & Autobiography, Personal Memoirs, Literary, Educators","Biography & Autobiography, Personal Memoirs, Literary",en,368.0,Paperback,https://images.isbndb.com/covers/22901953482431.jpg,
0385313632,Hard Time (V.I. Warshawski Novels (Hardcover)),SARA PARETSKY,1999,Delacorte Press,"Among the first, and perhaps the most compelling, female private investigators of contemporary fiction, Sara Paretsky's incomparable character V. I. Warshawski at last returns to the page in her first full-length appearance since 1994's Tunnel Vision. Hard Time is the work of a master--a riveting novel of suspense that is indisputably Paretsky's best V.I. Warshawski novel yet. <br>Multimedia conglomerate Global Entertainment has purchased the ""Chicago Herald-Star,"" forcing the paper's staff to scramble to stay employed. Reporter Murray Ryerson, V.I.'s longtime friend and sometime rival, manages to reinvent himself as the host of a television show on Global's network. On her way home from a party celebrating Murray's debut, V.I. almost runs over a woman lying in the street. Stopping to help, V.I. soon learns that her Good Samaritan act will drop her squarely in a boiling intrigue. <br>In a case that forces her to go head-to-head with one of the world's largest providers of private security and prison services, a case that exposes dark hidden truths behind the razzle-dazzle of the entertainment industry, V.I. will be ahead of the game if she gets out alive.","Fiction, Mystery & Detective, Hard-Boiled, Women Sleuths, Private Investigators, City Life","Fiction, Mystery & Detective, Hard-Boiled",en,385.0,Paperback,https://images.isbndb.com/covers/4474613482325.jpg,
0380772469,Forever in Your Embrace,Kathleen E. Woodiwiss,1993,Avon Books,"""On a dark and perilous road in a vast, magnificent land Colonel Tyrone Rycroft saves the life of a countess of royal blood. But the beautiful, highborn Synnovea repays his courage with deceit-ensnaring the dashing soldier-of-fortune in an inescapable web of irresistible seduction. In a realm of breathtaking opulence-in a splendid imperial court rife with danger-the handsome British adventurer falls unwitting but willing prey to Synnovea's amorous intrigues. But the schemes of a regal temptress are betrayed by her own impassioned yearnings-and a heart consumed by a raging fire she has ignited ... but is powerless to control.""--BOOK COVER","Fiction, Romance, Historical","Fiction, Romance, Historical",en,547.0,Paperback,https://images.isbndb.com/covers/15234523482323.jpg,
0380899361,Come Love a Stranger,Kathleen E. Woodiwiss,1986,Avon,"<p>A woman with no name and no memory...The two men who claim her:one with love, the other with fear...A dazzling tale of secret passions--and a love tragically lost and miraculously reborn--by the incomparable storyteller.</p><p>Mere days after Ashton Wingate's wedding to the enchanting Lierin, capricious Fate stole the Mississippi plantation owner's beloved from him. Now, three years later, his carriage has collided with a cloaked rider on horseback: a woman who bears an uncanny resemblance to the young bride who was swallowed up by the merciless river.</p><p>She awakens from unconsciousness in his magnificent home with no memory of who she is. Yet the tenderness of this noble, caring stranger who lovingly calls her ""Lierin"" soon captures her heart and inflames her with wanting. Then another enters their lives, threatening to destroy the happiness they have rediscovered in each other's arms--the dark and dangerous Malcolm Sinclair, who claims the enigmatic beauty is, in fact, his own wife, Lenore. But Ashton has sworn that he will not lose his adored one a second time, and he will risk any peril to preserve their newfound joy--no matter what the unremembered secrets of his lady's past ultimately reveal.</p>LIERIN<p>With no name and no memory, she awakens from a nightmare of madness into the lives of two stranger. One she desires, one she fears--but both have claimed her heart.</p><p>To handsome plantation owner Ashton Wingate, she is Lierin--the cherished bride cruelly stolen from him by capricious Fate. The other calls her Lenore--entangling the lost, tormented beauty in his sinister web of perilous deceit. But it is in the adoring arms of noble Ashton that her true destiny awaits--as they join together to unlock the mysteries of a shadowed past. . .and to rekindle the flames of a glorious love once vanished but never forgotten.</p>","Fiction, Romance, Historical","Fiction, Romance, Historical",en,512.0,Mass Market Paperback,https://images.isbndb.com/covers/16503473482323.jpg,
0671728571,Wildest Hearts,Jayne Ann Krentz,1993,Pocket,"Annie Lyncroft knew her scheme was outrageous. She'd come to the elegant penthouse to meet Oliver Rain, the richest and possibly the most dangerous man in the Pacific Northwest. Annie needed this sensual, secretive corporate maverick for what she was about to propose. Marriage! <br> With her brother Danny missing after a mysterious plane crash, Annie is struggling to protect his hot electronics company from the sharks who think he's not coming back. But fanciful, ethical Annie -- who usually runs a bizarre bric-a-brac shop knows Danny's alive, and she's determined to keep his company safe by putting his biggest investor at the helm. When Oliver actually says yes to the marriage of convenience, Annie dreamily envisions a few platonic weeks of helping him become a sensitive New Age guy. Oliver has a different plan; his cold, gorgeous eyes have been watching Annie, and he sees his chance to seduce the beautiful schemer. Love is the wild card destined to teach these two strong-willed opposites a lesson: icy control might run the business world, but all hell is about to break loose in the passionate territory of the heart.","Fiction, Romance, Contemporary, Women","Fiction, Romance, Contemporary",en,400.0,Mass Market Paperback,https://images.isbndb.com/covers/3873383482427.jpg,
0671034006,Heartbreaker,Julie Garwood,2001,Pocket,"<b>#1 <i>New York Times </i>bestselling author Julie Garwood proves she is a master storyteller in this classic romantic suspense novel featuring FBI agent Nick Buchanan.</b><br><br>In the still shadows of the confessional, the penitent kneels and makes a bone-chilling disclosure: <i>Bless me father, for I will sin....</i> Slowly, tauntingly, the man describes his murderous past—how he stalked his victim, worked his way into her life, and then took that life in a violent rage—and his plan to kill again. Only this time, he has raised the stakes in his twisted game, daring authorities to catch him if they can. And this time, he has revealed the name of his next intended victim. <br><br>Agent Nick Buchanan has come face-to-face with society's worst monsters and depraved minds in his work for one of the FBI's most elite units, but The Heartbreaker threatens to hit close to home. The intended victim, Laurant Madden, is his best friend's sister. <br><br>Soon he is caught up in an intricate chase with one of the most devious psychopaths of his career. But as the danger grows, so does an electrifying attraction between Nick and Laurant.<br><br>One false move will cost both of them everything that matters.","Fiction, Romance, Contemporary, Thrillers, Suspense","Fiction, Romance, Contemporary",en,544.0,Mass Market Paperback,https://images.isbndb.com/covers/25013553482426.jpg,
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,"Mikhail Filitov is a war hero and Red Army Colonel, but his CIA code name is &quot;Cardinal.&quot; A chance encounter in a Moscow subway leads the KGB to begin a hunt--for the spy in top echelons of power. From the author of &quot;Clear and Present Danger,&quot; &quot;The Hunt for Red October&quot; and &quot;Red Storm Rising,&quot; enter a world of high-wire, high-tech international intrigue that reaches from the bloody dust of Afghanistan to the use of lasers in space. The US and the USSR are negotiating a treaty that could lead to war--or peace--while their secret espionage armies are locked in the ultimate struggle. What the Cardinal knows could change the course of history. What a maverick CIA man named Ryan must do is outduel the KGB--and bring the Cardinal out alive!","Fiction, Thrillers, Suspense","Fiction, Thrillers, Suspense",en,547.0,Mass Market Paperback,https://images.isbndb.com/covers/9305643482339.jpg,
0882893327,The Voodoo Queen: A Novel (Pelican Pouch Series),Robert Tallant,1983,Pelican Publishing Company,"Witch? Sorceress? Daughter of Satan? Thief? Saint? Born in 1794, Marie Laveau reigned as the undisputed Queen of the Voodoos for nearly a century. Her beauty and powers were legendary, and caused her to be the subject of wild gossip throughout her life. She passed on her secrets to a favorite daughter, who helped her dominate the underworld of voodoo in New Orleans","Biography & Autobiography, Fiction, Historical, Horror, Southern, History, United States, State & Local, South (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV), Body, Mind & Spirit, Occultism, Travel, Reference","Biography & Autobiography, Fiction, Historical",en,314.0,Paperback,https://images.isbndb.com/covers/9086693482502.jpg,
0380817152,The Golden One : A Novel of Suspense,Elizabeth Peters,2003,Avon,"<p>A new year, 1917, is dawning, and the Great War that ravages the world shows no sign of abating. In these perilous times, archaeologist Amelia Peabody and her extended family must confront shocking dangers. But it is son Ramses who faces the most dire threat, answering a call that will carry him to the fabled seaport of Gaza on a mission as personal as it is perilous -- where death will be the certain consequence of exposure. While far away, Ramses's beautiful wife, Nefret, guards a secret of her own ...</p>","Fiction, Mystery & Detective, Women Sleuths, Historical, Thrillers, Suspense","Fiction, Mystery & Detective, Women Sleuths",en,512.0,Mass Market Paperback,https://images.isbndb.com/covers/15681363482323.jpg,
0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group,"<b><b><b>Don't Miss the Original Series <i>Tom Clancy's Jack Ryan</i> Starring John Krasinski!</b></b><br><br>Tom Clancy reveals the details of Jack Ryan's first days with the CIA in this #1 <i>New York Times</i> bestseller.</b><br><br>It’s the early 1980s—and historian, teacher, and recent ex-Marine Jack Ryan is now a CIA officer on loan to the British SIS. On his very first day, an extraordinary document crosses his desk. Because of government repression in Poland, the new Pope, John Paul II, has threatened to resign his papacy. <br>  <br> In Moscow, another man is contemplating the very same document. Yuriy Andropov, the chairman of the KGB, does not like what he reads, does not like what it means for him or for his nation. All it takes is one man to cause everything he has worked for to crumble. All it takes is one man to stop him. The Pope is very powerful, but he is also mortal....","Fiction, Thrillers, Suspense, Military, Action & Adventure","Fiction, Thrillers, Suspense",en,656.0,Mass Market Paperback,https://images.isbndb.com/covers/10049063482339.jpg,
0399142991,On the Occasion of My Last Afternoon,Kaye Gibbons,1998,Putnam Publishing Group,"The long-vanished world of the Old South--from 1842 to 1900--comes alive in the story of Emma Garnet, as she moves from pampered plantation owner's daughter, through her discovery of the evils of slavery and work in military hospitals during the Civil War, to her final reconciliation with her feelings about the South. 100,000 first printing.","FICTION_HISTORICAL_GENERAL, SOUTHERN STATES_FICTION, UNITED STATES_HISTORY_CIVIL WAR, 1861-1865_FICTION","FICTION_HISTORICAL_GENERAL, SOUTHERN STATES_FICTION, UNITED STATES_HISTORY_CIVIL WAR, 1861-1865_FICTION",en,273.0,Hardcover,https://images.isbndb.com/covers/2339243482330.jpg,
0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing,"<b>This large-format treasury collects every strip from</b> <i><b>Yukon Ho!</b></i> <b>and</b> <i><b>Weirdos from Another Planet!</b></i><b>, with full-color Sundays and the debut of Calvin's infamous duplicator--a must-have for readers who love mischief, imagination, and tiger-powered mayhem.</b><br> <br> What happens when bath time becomes a Yukon expedition--or school avoidance turns into interplanetary travel?<br> <br> <i>The Authoritative Calvin and Hobbes</i> is a must-have treasury for fans of Bill Watterson's legendary comic strip. This large-format volume collects every strip from <i>Yukon Ho!</i> and <i>Weirdos from Another Planet!</i> (spanning May 24, 1987 to December 4, 1988), including both black-and-white dailies and full-color Sundays. It also features a full-color story unique to this collection.<br> <br> Watterson captures the adventures of Calvin--a spirited six-year-old with a wild imagination--and Hobbes, his dry-witted, fiercely loyal tiger who springs to life when no one else is watching. Whether they're building a snowman army, debating the meaning of life, or inventing a duplicator that creates existential chaos, <i>Calvin and Hobbes</i> turn everyday moments into unforgettable adventures.<br> <br> <b>Features include:</b><br> <ul> <li>Every strip from <i>Yukon Ho!</i> and <i>Weirdos from Another Planet!</i></li> <li>Full-color Sunday strips and black-and-white dailies</li> <li>Exclusive full-color story unique to this edition</li> <li>Fan-favorite inventions like the duplicator and transmogrifier</li> <li>Strips spanning May 1987 to December 1988</li> </ul> <br> Perfect for longtime readers and newcomers alike, this collection delivers the wit, heart, and imagination that made <i>Calvin and Hobbes</i> a cultural icon.","Comics & Graphic Novels, Anthologies, Action & Adventure, Humor, Form, Comic Strips & Cartoons","Comics & Graphic Novels, Anthologies, Action & Adventure",en,253.0,Paperback,https://images.isbndb.com/covers/19794053482485.jpg,
067988288X,Wild Magic (Immortals (Paperback)),TAMORA PIERCE,1997,Random House Books for Young Readers,"Young Daine's knack with horses gets her a job helping the royal horsemistress drive a herd of ponies to Tortall. Soon it becomes clear that Daine's talent, as much as she struggles to hide it, is downright magical Horses and other animals not only obey, but listen to her words. Daine, though, will have to learn to trust humans before she can come to terms with her powers, her past, and ""herself.""","Fiction, Fantasy, Epic, Juvenile Fiction, Fantasy & Magic","Fiction, Fantasy, Epic",en,299.0,Mass Market Paperback,https://images.isbndb.com/covers/1159163482430.jpg,
0590251597,"Mary Anne Saves the Day (Baby-Sitters Club, 4)",Ann M. Martin,1995,Scholastic,"Mary Anne has never been a leader of the Baby-sitters Club. She's left that up to Kristy ... or Claudia ... or Stacey. But now there's a big fight among the four friends, and Mary Anne doesn't have them to depend on anymore. It's bad enough when she's left alone at the lunch table at school. But when she has to baby-sit a sick child without any help from the club members, Mary Anne knows it's time to take charge. The Baby-sitters Club is going to fall apart unless somebody does something - fast. Maybe it's time for Mary Anne to step in and save the day!","Juvenile Fiction, Girls & Women, Social Themes","Juvenile Fiction, Girls & Women, Social Themes",en,167.0,Paperback,https://images.isbndb.com/covers/3591523482398.jpg,
